"X","Y","malpi_aster_w4u3_rit"
585110.545324,4437412.280209,706.000000
585137.821277,4437412.280209,707.000000
585165.097230,4437412.280209,705.000000
585192.373183,4437412.280209,703.000000
585219.649136,4437412.280209,705.000000
585246.925089,4437412.280209,707.000000
585274.201042,4437412.280209,708.000000
585301.476995,4437412.280209,709.000000
585328.752948,4437412.280209,711.000000
585356.028901,4437412.280209,713.000000
585383.304854,4437412.280209,714.000000
585410.580807,4437412.280209,717.000000
585437.856760,4437412.280209,724.000000
585465.132713,4437412.280209,725.000000
585492.408666,4437412.280209,727.000000
585519.684619,4437412.280209,731.000000
585546.960572,4437412.280209,732.000000
585574.236525,4437412.280209,731.000000
585601.512478,4437412.280209,723.000000
585628.788431,4437412.280209,720.000000
585656.064384,4437412.280209,716.000000
585683.340337,4437412.280209,713.000000
585710.616290,4437412.280209,710.000000
585737.892243,4437412.280209,706.000000
585765.168196,4437412.280209,701.000000
585792.444149,4437412.280209,691.000000
585819.720102,4437412.280209,687.000000
585846.996055,4437412.280209,683.000000
585874.272008,4437412.280209,680.000000
585901.547961,4437412.280209,675.000000
585928.823914,4437412.280209,674.000000
585956.099867,4437412.280209,676.000000
585983.375820,4437412.280209,677.000000
586010.651773,4437412.280209,677.000000
586037.927726,4437412.280209,672.000000
586065.203679,4437412.280209,668.000000
586092.479632,4437412.280209,666.000000
586119.755585,4437412.280209,667.000000
586147.031538,4437412.280209,676.000000
586174.307491,4437412.280209,681.000000
586201.583444,4437412.280209,684.000000
586228.859397,4437412.280209,683.000000
586256.135350,4437412.280209,681.000000
586283.411303,4437412.280209,677.000000
586310.687256,4437412.280209,669.000000
586337.963209,4437412.280209,666.000000
586365.239162,4437412.280209,665.000000
586392.515115,4437412.280209,664.000000
586419.791068,4437412.280209,663.000000
586447.067021,4437412.280209,664.000000
581019.152374,4437439.556162,858.000000
581046.428327,4437439.556162,863.000000
581073.704280,4437439.556162,868.000000
581100.980233,4437439.556162,870.000000
581128.256186,4437439.556162,874.000000
581155.532139,4437439.556162,879.000000
581182.808092,4437439.556162,884.000000
581210.084045,4437439.556162,889.000000
581237.359998,4437439.556162,894.000000
581264.635951,4437439.556162,895.000000
581291.911904,4437439.556162,891.000000
581319.187857,4437439.556162,889.000000
581346.463810,4437439.556162,885.000000
581373.739763,4437439.556162,882.000000
581401.015716,4437439.556162,880.000000
581428.291669,4437439.556162,876.000000
581455.567622,4437439.556162,868.000000
581482.843575,4437439.556162,862.000000
581510.119528,4437439.556162,859.000000
581537.395481,4437439.556162,858.000000
581564.671434,4437439.556162,857.000000
581591.947387,4437439.556162,854.000000
581619.223340,4437439.556162,850.000000
581646.499293,4437439.556162,845.000000
581673.775246,4437439.556162,842.000000
581701.051199,4437439.556162,839.000000
581728.327152,4437439.556162,836.000000
581755.603105,4437439.556162,832.000000
581782.879058,4437439.556162,827.000000
581810.155011,4437439.556162,827.000000
581837.430964,4437439.556162,829.000000
581864.706917,4437439.556162,831.000000
581891.982870,4437439.556162,832.000000
581919.258823,4437439.556162,829.000000
581946.534776,4437439.556162,826.000000
581973.810729,4437439.556162,822.000000
582001.086682,4437439.556162,826.000000
582028.362635,4437439.556162,824.000000
582055.638588,4437439.556162,818.000000
582082.914541,4437439.556162,811.000000
582110.190494,4437439.556162,800.000000
582137.466447,4437439.556162,793.000000
582164.742400,4437439.556162,788.000000
582192.018353,4437439.556162,791.000000
582219.294306,4437439.556162,789.000000
582246.570259,4437439.556162,791.000000
582273.846212,4437439.556162,789.000000
582301.122165,4437439.556162,794.000000
582328.398118,4437439.556162,791.000000
582355.674071,4437439.556162,781.000000
582382.950024,4437439.556162,780.000000
582410.225977,4437439.556162,782.000000
582437.501930,4437439.556162,782.000000
582464.777883,4437439.556162,771.000000
582492.053836,4437439.556162,769.000000
582519.329789,4437439.556162,764.000000
582546.605742,4437439.556162,749.000000
582573.881695,4437439.556162,739.000000
582601.157648,4437439.556162,728.000000
582628.433601,4437439.556162,720.000000
582655.709554,4437439.556162,718.000000
582682.985507,4437439.556162,720.000000
582710.261460,4437439.556162,727.000000
582737.537413,4437439.556162,727.000000
582764.813366,4437439.556162,725.000000
582792.089319,4437439.556162,725.000000
582819.365272,4437439.556162,725.000000
582846.641225,4437439.556162,729.000000
582873.917178,4437439.556162,731.000000
582901.193131,4437439.556162,733.000000
582928.469084,4437439.556162,733.000000
582955.745037,4437439.556162,732.000000
582983.020990,4437439.556162,732.000000
583010.296943,4437439.556162,732.000000
583037.572896,4437439.556162,732.000000
583064.848849,4437439.556162,732.000000
583092.124802,4437439.556162,729.000000
583119.400755,4437439.556162,729.000000
583146.676708,4437439.556162,730.000000
583173.952661,4437439.556162,728.000000
583201.228614,4437439.556162,719.000000
583228.504567,4437439.556162,712.000000
583255.780520,4437439.556162,701.000000
583283.056473,4437439.556162,696.000000
583310.332426,4437439.556162,692.000000
583337.608379,4437439.556162,689.000000
583364.884332,4437439.556162,686.000000
583392.160285,4437439.556162,683.000000
583419.436238,4437439.556162,681.000000
583446.712191,4437439.556162,678.000000
583473.988144,4437439.556162,678.000000
583501.264097,4437439.556162,678.000000
583528.540050,4437439.556162,674.000000
583555.816003,4437439.556162,671.000000
583583.091956,4437439.556162,667.000000
583610.367909,4437439.556162,667.000000
583637.643862,4437439.556162,672.000000
583664.919815,4437439.556162,673.000000
583692.195768,4437439.556162,674.000000
583719.471721,4437439.556162,675.000000
583746.747674,4437439.556162,673.000000
583774.023627,4437439.556162,672.000000
583801.299580,4437439.556162,673.000000
583828.575533,4437439.556162,672.000000
583855.851486,4437439.556162,673.000000
583883.127439,4437439.556162,671.000000
583910.403392,4437439.556162,670.000000
583937.679345,4437439.556162,668.000000
583964.955298,4437439.556162,664.000000
583992.231251,4437439.556162,657.000000
584019.507204,4437439.556162,656.000000
584046.783157,4437439.556162,657.000000
584074.059110,4437439.556162,659.000000
584101.335063,4437439.556162,662.000000
584128.611016,4437439.556162,663.000000
584155.886969,4437439.556162,656.000000
584183.162922,4437439.556162,654.000000
584210.438875,4437439.556162,656.000000
584237.714828,4437439.556162,657.000000
584264.990781,4437439.556162,658.000000
584292.266734,4437439.556162,659.000000
584319.542687,4437439.556162,661.000000
584346.818640,4437439.556162,671.000000
584374.094593,4437439.556162,677.000000
584401.370546,4437439.556162,682.000000
584428.646499,4437439.556162,691.000000
584455.922452,4437439.556162,696.000000
584483.198405,4437439.556162,700.000000
584510.474358,4437439.556162,699.000000
584537.750311,4437439.556162,693.000000
584565.026264,4437439.556162,690.000000
584592.302217,4437439.556162,687.000000
584619.578170,4437439.556162,685.000000
584646.854123,4437439.556162,688.000000
584674.130076,4437439.556162,686.000000
584701.406029,4437439.556162,681.000000
584728.681982,4437439.556162,679.000000
584755.957935,4437439.556162,674.000000
584783.233888,4437439.556162,672.000000
584810.509841,4437439.556162,671.000000
584837.785794,4437439.556162,669.000000
584865.061747,4437439.556162,670.000000
584892.337700,4437439.556162,678.000000
584919.613653,4437439.556162,680.000000
584946.889606,4437439.556162,683.000000
584974.165559,4437439.556162,687.000000
585001.441512,4437439.556162,692.000000
585028.717465,4437439.556162,693.000000
585055.993418,4437439.556162,699.000000
585083.269371,4437439.556162,701.000000
585110.545324,4437439.556162,707.000000
585137.821277,4437439.556162,708.000000
585165.097230,4437439.556162,712.000000
585192.373183,4437439.556162,711.000000
585219.649136,4437439.556162,710.000000
585246.925089,4437439.556162,707.000000
585274.201042,4437439.556162,708.000000
585301.476995,4437439.556162,709.000000
585328.752948,4437439.556162,711.000000
585356.028901,4437439.556162,713.000000
585383.304854,4437439.556162,714.000000
585410.580807,4437439.556162,717.000000
585437.856760,4437439.556162,724.000000
585465.132713,4437439.556162,725.000000
585492.408666,4437439.556162,727.000000
585519.684619,4437439.556162,731.000000
585546.960572,4437439.556162,732.000000
585574.236525,4437439.556162,735.000000
585601.512478,4437439.556162,730.000000
585628.788431,4437439.556162,724.000000
585656.064384,4437439.556162,722.000000
585683.340337,4437439.556162,718.000000
585710.616290,4437439.556162,715.000000
585737.892243,4437439.556162,712.000000
585765.168196,4437439.556162,708.000000
585792.444149,4437439.556162,697.000000
585819.720102,4437439.556162,691.000000
585846.996055,4437439.556162,688.000000
585874.272008,4437439.556162,685.000000
585901.547961,4437439.556162,685.000000
585928.823914,4437439.556162,681.000000
585956.099867,4437439.556162,681.000000
585983.375820,4437439.556162,682.000000
586010.651773,4437439.556162,681.000000
586037.927726,4437439.556162,680.000000
586065.203679,4437439.556162,676.000000
586092.479632,4437439.556162,672.000000
586119.755585,4437439.556162,674.000000
586147.031538,4437439.556162,684.000000
586174.307491,4437439.556162,689.000000
586201.583444,4437439.556162,691.000000
586228.859397,4437439.556162,688.000000
586256.135350,4437439.556162,686.000000
586283.411303,4437439.556162,685.000000
586310.687256,4437439.556162,681.000000
586337.963209,4437439.556162,672.000000
586365.239162,4437439.556162,670.000000
586392.515115,4437439.556162,669.000000
586419.791068,4437439.556162,670.000000
586447.067021,4437439.556162,673.000000
581019.152374,4437466.832115,860.000000
581046.428327,4437466.832115,861.000000
581073.704280,4437466.832115,868.000000
581100.980233,4437466.832115,870.000000
581128.256186,4437466.832115,876.000000
581155.532139,4437466.832115,882.000000
581182.808092,4437466.832115,889.000000
581210.084045,4437466.832115,892.000000
581237.359998,4437466.832115,898.000000
581264.635951,4437466.832115,903.000000
581291.911904,4437466.832115,905.000000
581319.187857,4437466.832115,904.000000
581346.463810,4437466.832115,899.000000
581373.739763,4437466.832115,896.000000
581401.015716,4437466.832115,892.000000
581428.291669,4437466.832115,887.000000
581455.567622,4437466.832115,877.000000
581482.843575,4437466.832115,869.000000
581510.119528,4437466.832115,864.000000
581537.395481,4437466.832115,860.000000
581564.671434,4437466.832115,860.000000
581591.947387,4437466.832115,857.000000
581619.223340,4437466.832115,855.000000
581646.499293,4437466.832115,851.000000
581673.775246,4437466.832115,850.000000
581701.051199,4437466.832115,848.000000
581728.327152,4437466.832115,846.000000
581755.603105,4437466.832115,843.000000
581782.879058,4437466.832115,841.000000
581810.155011,4437466.832115,842.000000
581837.430964,4437466.832115,840.000000
581864.706917,4437466.832115,841.000000
581891.982870,4437466.832115,842.000000
581919.258823,4437466.832115,839.000000
581946.534776,4437466.832115,832.000000
581973.810729,4437466.832115,830.000000
582001.086682,4437466.832115,833.000000
582028.362635,4437466.832115,833.000000
582055.638588,4437466.832115,827.000000
582082.914541,4437466.832115,820.000000
582110.190494,4437466.832115,811.000000
582137.466447,4437466.832115,793.000000
582164.742400,4437466.832115,788.000000
582192.018353,4437466.832115,791.000000
582219.294306,4437466.832115,789.000000
582246.570259,4437466.832115,791.000000
582273.846212,4437466.832115,789.000000
582301.122165,4437466.832115,794.000000
582328.398118,4437466.832115,791.000000
582355.674071,4437466.832115,781.000000
582382.950024,4437466.832115,780.000000
582410.225977,4437466.832115,782.000000
582437.501930,4437466.832115,782.000000
582464.777883,4437466.832115,783.000000
582492.053836,4437466.832115,782.000000
582519.329789,4437466.832115,779.000000
582546.605742,4437466.832115,766.000000
582573.881695,4437466.832115,757.000000
582601.157648,4437466.832115,742.000000
582628.433601,4437466.832115,732.000000
582655.709554,4437466.832115,729.000000
582682.985507,4437466.832115,731.000000
582710.261460,4437466.832115,737.000000
582737.537413,4437466.832115,735.000000
582764.813366,4437466.832115,731.000000
582792.089319,4437466.832115,730.000000
582819.365272,4437466.832115,732.000000
582846.641225,4437466.832115,735.000000
582873.917178,4437466.832115,737.000000
582901.193131,4437466.832115,745.000000
582928.469084,4437466.832115,748.000000
582955.745037,4437466.832115,748.000000
582983.020990,4437466.832115,748.000000
583010.296943,4437466.832115,745.000000
583037.572896,4437466.832115,743.000000
583064.848849,4437466.832115,742.000000
583092.124802,4437466.832115,739.000000
583119.400755,4437466.832115,736.000000
583146.676708,4437466.832115,734.000000
583173.952661,4437466.832115,729.000000
583201.228614,4437466.832115,724.000000
583228.504567,4437466.832115,719.000000
583255.780520,4437466.832115,707.000000
583283.056473,4437466.832115,702.000000
583310.332426,4437466.832115,699.000000
583337.608379,4437466.832115,696.000000
583364.884332,4437466.832115,693.000000
583392.160285,4437466.832115,687.000000
583419.436238,4437466.832115,682.000000
583446.712191,4437466.832115,679.000000
583473.988144,4437466.832115,678.000000
583501.264097,4437466.832115,678.000000
583528.540050,4437466.832115,675.000000
583555.816003,4437466.832115,672.000000
583583.091956,4437466.832115,669.000000
583610.367909,4437466.832115,669.000000
583637.643862,4437466.832115,675.000000
583664.919815,4437466.832115,677.000000
583692.195768,4437466.832115,678.000000
583719.471721,4437466.832115,678.000000
583746.747674,4437466.832115,677.000000
583774.023627,4437466.832115,677.000000
583801.299580,4437466.832115,677.000000
583828.575533,4437466.832115,678.000000
583855.851486,4437466.832115,676.000000
583883.127439,4437466.832115,676.000000
583910.403392,4437466.832115,674.000000
583937.679345,4437466.832115,669.000000
583964.955298,4437466.832115,664.000000
583992.231251,4437466.832115,659.000000
584019.507204,4437466.832115,660.000000
584046.783157,4437466.832115,663.000000
584074.059110,4437466.832115,664.000000
584101.335063,4437466.832115,666.000000
584128.611016,4437466.832115,666.000000
584155.886969,4437466.832115,661.000000
584183.162922,4437466.832115,656.000000
584210.438875,4437466.832115,656.000000
584237.714828,4437466.832115,659.000000
584264.990781,4437466.832115,661.000000
584292.266734,4437466.832115,664.000000
584319.542687,4437466.832115,667.000000
584346.818640,4437466.832115,679.000000
584374.094593,4437466.832115,684.000000
584401.370546,4437466.832115,690.000000
584428.646499,4437466.832115,697.000000
584455.922452,4437466.832115,704.000000
584483.198405,4437466.832115,706.000000
584510.474358,4437466.832115,704.000000
584537.750311,4437466.832115,692.000000
584565.026264,4437466.832115,688.000000
584592.302217,4437466.832115,685.000000
584619.578170,4437466.832115,683.000000
584646.854123,4437466.832115,684.000000
584674.130076,4437466.832115,684.000000
584701.406029,4437466.832115,683.000000
584728.681982,4437466.832115,681.000000
584755.957935,4437466.832115,680.000000
584783.233888,4437466.832115,680.000000
584810.509841,4437466.832115,679.000000
584837.785794,4437466.832115,678.000000
584865.061747,4437466.832115,680.000000
584892.337700,4437466.832115,689.000000
584919.613653,4437466.832115,688.000000
584946.889606,4437466.832115,683.000000
584974.165559,4437466.832115,687.000000
585001.441512,4437466.832115,692.000000
585028.717465,4437466.832115,693.000000
585055.993418,4437466.832115,699.000000
585083.269371,4437466.832115,701.000000
585110.545324,4437466.832115,707.000000
585137.821277,4437466.832115,708.000000
585165.097230,4437466.832115,712.000000
585192.373183,4437466.832115,711.000000
585219.649136,4437466.832115,710.000000
585246.925089,4437466.832115,711.000000
585274.201042,4437466.832115,712.000000
585301.476995,4437466.832115,714.000000
585328.752948,4437466.832115,716.000000
585356.028901,4437466.832115,719.000000
585383.304854,4437466.832115,719.000000
585410.580807,4437466.832115,719.000000
585437.856760,4437466.832115,725.000000
585465.132713,4437466.832115,728.000000
585492.408666,4437466.832115,731.000000
585519.684619,4437466.832115,735.000000
