x,y,z,dipdir,dipang
585482,4.44182e+06,1207.5,135,35
585470,4.4418e+06,1205.17,135,35
585450,4.44178e+06,1201.56,135,35
585465,4.4418e+06,1203.95,135,35
585470,4.4418e+06,1205.17,135,35
585465,4.4418e+06,1203.95,135,35
585429,4.44175e+06,1198.32,135,35
585438,4.44176e+06,1199.69,135,35
585450,4.44178e+06,1201.56,135,35
585438,4.44176e+06,1199.69,135,35
585429,4.44175e+06,1198.32,135,35
585416,4.44173e+06,1193.99,135,35
585416,4.44173e+06,1193.99,135,35
585413,4.44172e+06,1192.83,135,35
585373,4.44169e+06,1199.14,135,35
585383,4.44171e+06,1199.69,135,35
585383,4.44171e+06,1199.69,135,35
585405,4.44172e+06,1193.99,135,35
585405,4.44172e+06,1193.99,135,35
585411,4.44172e+06,1192.83,135,35
585413,4.44172e+06,1192.83,135,35
585411,4.44172e+06,1192.83,135,35
585325,4.44167e+06,1209.43,135,35
585329,4.44167e+06,1208,135,35
585329,4.44167e+06,1208,135,35
585331,4.44167e+06,1207.5,135,35
585331,4.44167e+06,1207.5,135,35
585356,4.44168e+06,1201,135,35
585373,4.44169e+06,1199.14,135,35
585356,4.44168e+06,1201,135,35
584996,4.44164e+06,1358.89,135,35
585001,4.44164e+06,1356.88,135,35
585001,4.44164e+06,1356.88,135,35
585004,4.44164e+06,1356.05,135,35
585004,4.44164e+06,1356.05,135,35
585029,4.44165e+06,1345.2,135,35
585029,4.44165e+06,1345.2,135,35
585031,4.44164e+06,1342.55,135,35
585031,4.44164e+06,1342.55,135,35
585056,4.44165e+06,1332.45,135,35
585056,4.44165e+06,1332.45,135,35
585063,4.44165e+06,1329.04,135,35
585063,4.44165e+06,1329.04,135,35
585077,4.44164e+06,1318.81,135,35
585187,4.44164e+06,1264.11,135,35
585192,4.44164e+06,1261.87,135,35
585192,4.44164e+06,1261.87,135,35
585193,4.44164e+06,1261.52,135,35
585193,4.44164e+06,1261.52,135,35
585196,4.44164e+06,1259.66,135,35
585266,4.44164e+06,1225.15,135,35
